종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"005930","삼성전자","710819133","953928382","243109249","45376817400000","61447088396300","16070270996300"
"035420","NAVER","60471744","73239002","12767258","13982534164500","17208787181000","3226253016500"
"035720","카카오","248313216","276849006","28535790","18527242912750","20789990627950","2262747715200"
"000660","SK하이닉스","196083070","215434744","19351674","20355233627700","22071616252900","1716382625200"
"005935","삼성전자우","97874518","126465258","28590740","5761719501850","7454335838700","1692616336850"
"034020","두산에너빌리티","1025323938","1081993198","56669260","19223132029750","20312500797750","1089368768000"
"323410","카카오뱅크","359403590","389218210","29814620","10896834612850","11929818391500","1032983778650"
"066570","LG전자","99287572","106421856","7134284","10703469439900","11479528158800","776058718900"
"009150","삼성전기","55571037","59881506","4310469","8371205471000","9099824252000","728618781000"
"361610","SK아이이테크놀로지","49953994","56807625","6853631","4341302810450","4937928012900","596625202450"
"051900","LG생활건강","4807525","5474126","666601","3631501467000","4195880888500","564379421500"
"259960","크래프톤","27556109","28917182","1361073","7064399497603","7525968578500","461569080897"
"005380","현대차","64095784","67493895","3398111","11673716384000","12133226504000","459510120000"
"011070","LG이노텍","39394850","41018427","1623577","13428974073000","13886939940500","457965867500"
"377300","카카오페이","98028831","103859095","5830264","6800297004750","7249146965450","448849960700"
"352820","하이브","37615384","38936282","1320898","7440653240000","7875266288000","434613048000"
"302440","SK바이오사이언스","87963818","90508327","2544509","11400755328600","11822465608100","421710279500"
"000270","기아","122640215","130409581","7769366","9400887752800","9789294354900","388406602100"
"005490","POSCO홀딩스","28198747","29947789","1749042","7660874168500","8048836297000","387962128500"
"088980","맥쿼리인프라","96230119","119263269","23033150","1230852974100","1526509714250","295656740150"
"020150","일진머티리얼즈","47172445","50571808","3399363","3591960563200","3875879065100","283918501900"
"090430","아모레퍼시픽","27760757","29328593","1567836","3983369995800","4199472698600","216102702800"
"000990","DB하이텍","113101472","117222584","4121112","6683880032700","6885285147750","201405115050"
"139480","이마트","12807238","14470609","1663371","1441191989400","1634271252400","193079263000"
"138930","BNK금융지주","110574297","138317132","27742835","808769018190","999713609300","190944591110"
"336370","솔루스첨단소재","43935097","47068677","3133580","2428966794950","2607302510900","178335715950"
"016380","KG스틸","524158514","534217604","10059090","9632244971900","9806322727970","174077756070"
"034220","LG디스플레이","223989029","232749034","8760005","4084238231200","4257034571100","172796339900"
"375500","DL이앤씨","25502868","27768308","2265440","1683246480800","1854696514800","171450034000"
"006360","GS건설","66810318","73775913","6965595","2184876227050","2350714679000","165838451950"
"016360","삼성증권","25632905","30223390","4590485","944179109300","1108639484900","164460375600"
"298020","효성티앤씨","4908556","5260710","352154","1969541409500","2126183466000","156642056500"
"012510","더존비즈온","17540066","20634684","3094618","697506004650","853881894000","156375889350"
"294870","HDC현대산업개발","124209021","132967012","8757991","1972309811820","2115142533370","142832721550"
"336260","두산퓨얼셀","74728897","78559327","3830430","2708052122350","2848988129300","140936006950"
"036570","엔씨소프트","11257029","11456266","199237","5021078836500","5160046080000","138967243500"
"249420","일동제약","766600204","768961002","2360798","35683437024400","35822027923950","138590899550"
"005940","NH투자증권","53175608","66230010","13054402","551996402960","687371992470","135375589510"
"019170","신풍제약","247251360","250244265","2992905","8515518218950","8645892090100","130373871150"
"093370","후성","309386592","318712150","9325558","5954326254500","6084369682450","130043427950"
"010060","OCI","62603029","64120491","1517462","6976617846900","7104852147200","128234300300"
"005387","현대차2우B","6003619","7579804","1576185","532752168100","660380395600","127628227500"
"017670","SK텔레콤","37503365","40375254","2871889","2059320902400","2182547076400","123226174000"
"004800","효성","4765089","6278229","1513140","374787478000","492606058700","117818580700"
"052690","한전기술","84015138","85504856","1489718","6212111421150","6325998622100","113887200950"
"001470","삼부토건","2335570289","2374210547","38640258","5931267351475","6037862558535","106595207060"
"071050","한국금융지주","13072939","14625251","1552312","824563775350","929796246700","105232471350"
"001440","대한전선","4984661460","5040599381","55937921","9476189604710","9581060534770","104870930060"
"032350","롯데관광개발","82723418","88446232","5722814","1160878200370","1246715360610","85837160240"
"251270","넷마블","23501560","24528686","1027126","1781264242300","1864060580800","82796338500"
"139130","DGB금융지주","54244974","64527355","10282381","441245470720","518228421290","76982950570"
"009900","명신산업","73707457","77649256","3941799","1548436757900","1624073658850","75636900950"
"298050","효성첨단소재","5380506","5551133","170627","2354809654500","2425856383500","71046729000"
"007810","코리아써키트","61736116","64930064","3193948","1584866574400","1654374895350","69508320950"
"009450","경동나비엔","7521674","9177051","1655377","325892957500","394990194750","69097237250"
"001570","금양","879797813","885570074","5772261","14662409016270","14730847414955","68438398685"
"020560","아시아나항공","80940308","84560665","3620357","1412770386900","1474834639250","62064252350"
"053690","한미글로벌","292897455","294336564","1439109","8144412587420","8205611156200","61198568780"
"381970","케이카","70604652","74330851","3726199","1595456505550","1653395412850","57938907300"
"051905","LG생활건강우","402287","549949","147662","147760236000","203183364500","55423128500"
"108670","LX하우시스","5758855","6813419","1054564","302453922800","357612653300","55158730500"
"348950","제이알글로벌리츠","58433091","69092568","10659477","290759136915","340466025720","49706888805"
"013890","지누스","6281476","7104616","823140","370116781800","419258763550","49141981750"
"271940","일진하이솔루스","21129130","22465060","1335930","840335030150","889160412050","48825381900"
"042660","대우조선해양","98892477","101326281","2433804","2232626689750","2281323133250","48696443500"
"018880","한온시스템","53316494","57766229","4449735","554072238380","601875272060","47803033680"
"161390","한국타이어앤테크놀로지","20751061","22414554","1663493","736789388150","784383983350","47594595200"
"003000","부광약품","151212006","155039104","3827098","1667728803890","1715177958640","47449154750"
"178920","PI첨단소재","18531583","19902813","1371230","767219871750","814668855500","47448983750"
"402340","SK스퀘어","72007805","72714749","706944","3792936088100","3840188460100","47252372000"
"014680","한솔케미칼","4999082","5202045","202963","1120424378500","1166863048000","46438669500"
"377740","바이오노트","45268792","49621709","4352917","467799375960","514166544870","46367168910"
"034830","한국토지신탁","116421939","144115105","27693166","227274449000","273252808725","45978359725"
"000230","일동홀딩스","213618195","215195353","1577158","6869125327450","6912963165950","43837838500"
"042700","한미반도체","71201787","73767126","2565339","1295179075850","1338525143300","43346067450"
"126720","수산인더스트리","19406014","20959485","1553471","601934546900","644622412350","42687865450"
"120110","코오롱인더","20567962","21448051","880089","1181350464850","1223099005100","41748540250"
"181710","NHN","13049189","14267409","1218220","406361828350","444363834500","38002006150"
"021240","코웨이","5981853","6591005","609152","388241875300","425692403600","37450528300"
"091090","세원이앤씨","1323937633","1371491258","47553625","1178747139272","1216095053006","37347913734"
"011790","SKC","25469230","25878934","409704","3282993667500","3319508899400","36515231900"
"002790","아모레G","17896201","18977568","1081367","675532727400","711352108850","35819381450"
"001740","SK네트웍스","66819591","74701545","7881954","298370295750","333045758245","34675462495"
"192820","코스맥스","11245289","11636452","391163","812132134200","846457734500","34325600300"
"003070","코오롱글로벌","75813047","77446753","1633706","1740167362550","1773409946200","33242583650"
"037270","YG PLUS","158134609","162985908","4851299","989695752705","1022459956540","32764203835"
"241590","화승엔터프라이즈","23251544","26161631","2910087","296524356000","329004460720","32480104720"
"300720","한일시멘트","40246231","41780735","1534504","783358126150","815467156850","32109030700"
"005385","현대차우","4523215","4976158","452943","399464478200","431255285100","31790806900"
"066575","LG전자우","5573692","6198347","624655","294562884700","324647925150","30085040450"
"002780","진흥기업","397915944","412388269","14472325","780724193285","810801765090","30077571805"
"000720","현대건설","74367481","75408158","1040677","3166452158100","3196106152700","29653994600"
"051600","한전KPS","38839495","39610633","771138","1491043086250","1520458773500","29415687250"
"033240","자화전자","66337736","67635213","1297477","1756149183100","1785500544650","29351361550"
"011700","한신기계","1405491603","1406988328","1496725","12300789476190","12330024995270","29235519080"
"017390","서울가스","1424021","1569871","145850","397742338500","426606088000","28863749500"
"004490","세방전지","8458014","8945412","487398","470866709450","496786603900","25919894450"
"003580","HLB글로벌","231096480","233764264","2667784","2719912455610","2745705862960","25793407350"
"036420","콘텐트리중앙","49438821","50743687","1304866","2190037492650","2215180071200","25142578550"
"060980","HL홀딩스","2595341","3276617","681276","99703338950","124732929700","25029590750"
"298000","효성화학","3141602","3408979","267377","709848329300","734508965800","24660636500"
"011785","금호석유우","2236103","2515667","279564","204040460900","228574736000","24534275100"
"008040","사조동아원","2395302604","2405523311","10220707","4583778353878","4608238662499","24460308621"
"000670","영풍","433500","464822","31322","313070818000","336751586000","23680768000"
"009410","태영건설","30671470","34418176","3746706","205576400500","228789382415","23212981915"
"241560","두산밥캣","21286499","22079395","792896","768197325200","790707475800","22510150600"
"001820","삼화콘덴서","19673354","20135106","461752","1186292755800","1208797482700","22504726900"
"000120","CJ대한통운","4117337","4392498","275161","457146028800","479589213800","22443185000"
"007660","이수페타시스","271171418","274608445","3437027","1882239943870","1904479512620","22239568750"
"033180","KH 필룩스","376491394","390027287","13535893","804751622405","826795317096","22043694691"
"079160","CJ CGV","46737457","48136502","1399045","1092897767200","1114803434800","21905667600"
"284740","쿠쿠홈시스","3213687","3795064","581377","105911902300","126753983800","20842081500"
"105630","한세실업","37895775","39313551","1417776","772410716150","792986933050","20576216900"
"138040","메리츠금융지주","30484870","31923253","1438383","1145128091800","1165492732900","20364641100"
"005960","동부건설","30946310","33163017","2216707","298709543020","318959734500","20250191480"
"035510","신세계 I&C","7354721","8188744","834023","169201262600","189318057150","20116794550"
"161000","애경케미칼","26227192","28284319","2057127","261236216000","281273359280","20037143280"
"002990","금호건설","22275313","24584668","2309355","193475618920","213371757050","19896138130"
"001430","세아베스틸지주","52689783","53709962","1020179","995319325650","1014865729450","19546403800"
"031440","신세계푸드","1061902","1361412","299510","69892224250","89380368750","19488144500"
"074610","이엔플러스","808769830","812524457","3754627","4088420518920","4107901288050","19480769130"
"058730","다스코","320416564","323087428","2670864","2058346686165","2077577901715","19231215550"
"145990","삼양사","3618192","4012730","394538","180612096800","199541461300","18929364500"
"073240","금호타이어","35303789","40503645","5199856","134009612390","152532148065","18522535675"
"097520","엠씨넥스","20572759","21033673","460914","885046620500","903418131400","18371510900"
"030790","비케이탑스","172700772","180961396","8260624","503875443715","521863988106","17988544391"
"033920","무학","49725564","52088481","2362917","491638907135","509538654120","17899746985"
"145210","다이나믹디자인","641452735","648200866","6748131","876050709873","893731945680","17681235807"
"005945","NH투자증권우","8070737","9777224","1706487","82895814530","100424748060","17528933530"
"004960","한신공영","21785819","22862698","1076879","291860355110","308847341470","16986986360"
"003530","한화투자증권","193339126","197522917","4183791","848122328590","865007777565","16885448975"
"007460","에이프로젠","1486148298","1492133728","5985430","1861731588049","1878371111535","16639523486"
"214320","이노션","2386899","2736878","349979","112124159250","128516907600","16392748350"
"446070","유니드비티플러스","55142940","57299055","2156115","460730233160","477064062220","16333829060"
"057050","현대홈쇼핑","1264596","1556821","292225","69926971350","85811682100","15884710750"
"005389","현대차3우B","1178088","1377328","199240","100051951800","115780187300","15728235500"
"000815","삼성화재우","1073394","1179057","105663","171560137500","187103448500","15543311000"
"00680K","미래에셋증권2우B","20458783","24287972","3829189","83963070565","99458057370","15494986805"
"377190","디앤디플랫폼리츠","10224098","14465764","4241666","47030869955","62489326440","15458456485"
"002150","도화엔지니어링","205886327","207181435","1295108","2136505850720","2151882718380","15376867660"
"126560","현대퓨처넷","67890462","72932476","5042014","204209865575","219481214770","15271349195"
"115390","락앤락","11729672","13481266","1751594","102830131110","117747232040","14917100930"
"001020","페이퍼코리아","192560258","198674297","6114039","447547242095","462298450775","14751208680"
"010780","아이에스동서","12399281","12873093","473812","530811215150","545389498750","14578283600"
"004980","성신양회","102166159","102890828","724669","1297954250050","1312420906680","14466656630"
"195870","해성디에스","42686649","43211144","524495","2405374354050","2419820560500","14446206450"
"003545","대신증권우","8935736","9961808","1026072","128457711050","142868269000","14410557950"
"123890","한국자산신탁","22450333","26572289","4121956","82705941935","96791299745","14085357810"
"092220","KEC","847061853","850705236","3643383","2732647201925","2746724691005","14077489080"
"009160","SIMPAC","38797636","40885268","2087632","271445813245","285079812435","13633999190"
"004250","NPC","344356645","345679170","1322525","3402916252760","3416429946190","13513693430"
"030210","다올투자증권","55825289","59012775","3187486","225303294140","238788333195","13485039055"
"007570","일양약품","19487339","20061714","574375","445613328900","459064701650","13451372750"
"049770","동원F&B","414780","498180","83400","67237582500","80482095500","13244513000"
"001530","DI동일","11820293","12353250","532957","330390404350","343294355650","12903951300"
"403550","쏘카","40637459","41023443","385984","897354522950","910251030700","12896507750"
"017810","풀무원","11362973","12181210","818237","175611368000","188485591600","12874223600"
"136490","선진","50996972","51968420","971448","653394378850","666236784360","12842405510"
"006280","녹십자","4775565","4869348","93783","810693918000","823423388000","12729470000"
"013570","디와이","270078340","270908129","829789","2551306051420","2563801538180","12495486760"
"003410","쌍용C&E","67521842","70915859","3394017","501830649770","514162357890","12331708120"
"007280","한국특강","49258139","53264471","4006332","156273118250","168341180705","12068062455"
"008490","서흥","1607325","1909236","301911","57578533850","69586123300","12007589450"
"001070","대한방직","1471843","1712778","240935","72665754350","84207935600","11542181250"
"020000","한섬","6817516","7206366","388850","223424660500","234813544650","11388884150"
"071840","롯데하이마트","4047967","4749155","701188","75118314050","86195186350","11076872300"
"001390","KG케미칼","112453732","112557035","103303","4420995812300","4431925871000","10930058700"
"286940","롯데정보통신","7058232","7444399","386167","226438249350","237239617050","10801367700"
"001940","KISCO홀딩스","3867306","4592205","724899","60509286400","71251270950","10741984550"
"084690","대상홀딩스","38289110","39206089","916979","402507147510","413172279660","10665132150"
"117580","대성에너지","591315794","591545967","230173","8048745801390","8059373188070","10627386680"
"001790","대한제당","806053392","807338643","1285251","3654914798575","3665518875750","10604077175"
"111110","호전실업","17013448","18229549","1216101","163048226970","173626362750","10578135780"
"003560","IHQ","258417153","275359591","16942438","203524366592","213999676215","10475309623"
"037560","LG헬로비전","210399986","211823097","1423111","1291989160425","1302233686090","10244525665"
"006060","화승인더","25763438","27857517","2094079","131846788140","141813202380","9966414240"
"071055","한국금융지주우","1752030","1971311","219281","99960500350","109899581700","9939081350"
"006840","AK홀딩스","3871949","4455671","583722","72653383500","82493555600","9840172100"
"006120","SK디스커버리","4311255","4604475","293220","158551632200","168323962450","9772330250"
"003240","태광산업","66374","79204","12830","60888981000","70633016000","9744035000"
"002320","한진","4676668","5144679","468011","129599455550","139259531600","9660076050"
"139990","아주스틸","16723403","17330612","607209","240777556470","250137040110","9359483640"
"003520","영진약품","173337073","176157961","2820888","665409159765","674586163685","9177003920"
"030610","교보증권","6324809","7731337","1406528","42404895670","51539425790","9134530120"
"004870","티웨이홀딩스","96754268","109400133","12645865","62514619117","71549890774","9035271657"
"317400","자이에스앤디","35968388","37338148","1369760","292147520930","301142372810","8994851880"
"010600","웰바이오텍","223832575","228500903","4668328","408762579055","417714706630","8952127575"
"001140","국보","370347983","377502545","7154562","468462376589","477328368262","8865991673"
"001210","금호전기","74911281","79140818","4229537","167514850306","176129427538","8614577232"
"002710","TCC스틸","166757025","167778895","1021870","1922588735490","1931124498210","8535762720"
"053210","스카이라이프","18709878","19704943","995065","168861274170","177308043670","8446769500"
"192400","쿠쿠홀딩스","3688316","4167008","478692","63206270300","71559985200","8353714900"
"002020","코오롱","11547127","11813914","266787","318036866900","326278701300","8241834400"
"024090","디씨엠","9641759","9939774","298015","218535257350","226701265400","8166008050"
"007700","F&F홀딩스","48798859","49100567","301708","1334263999900","1342413908900","8149909000"
"282690","동아타이어","3284523","3970172","685649","39899734500","48001515100","8101780600"
"004920","씨아이테크","169704014","175159171","5455157","204456180497","212550436145","8094255648"
"248170","샘표식품","15671118","15790213","119095","759728836200","767815613950","8086777750"
"005180","빙그레","1600616","1757423","156807","79899879200","87861002250","7961123050"
"016590","신대양제지","400531","492414","91883","35788207400","43734478500","7946271100"
