종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"005490","POSCO홀딩스","162287375","185934753","23647378","77247297712000","88579679763000","11332382051000"
"051910","LG화학","19717862","23008228","3290366","12681750504000","14620490931000","1938740427000"
"003670","포스코퓨처엠","154052429","157498439","3446010","51954688922400","53157278048000","1202589125600"
"096770","SK이노베이션","82339596","89957646","7618050","14366855013600","15535531174100","1168676160500"
"006400","삼성SDI","19359432","21282158","1922726","11947505931000","12775721143500","828215212500"
"373220","LG에너지솔루션","34312360","36023411","1711051","18122262966000","18800479780500","678216814500"
"051900","LG생활건강","6278359","7445927","1167568","3094051216000","3694304369000","600253153000"
"051915","LG화학우","5675859","7289206","1613347","2063812107000","2661307879500","597495772500"
"035250","강원랜드","68084941","93258103","25173162","1204333170280","1680119213420","475786043140"
"009830","한화솔루션","188253281","199281596","11028315","8131954576700","8606521436500","474566859800"
"036570","엔씨소프트","10520917","12032367","1511450","3240892952500","3703228537000","462335584500"
"047050","포스코인터내셔널","466332247","474766939","8434692","26957896888750","27367769778150","409872889400"
"010950","S-Oil","27088501","32344508","5256007","2050332480300","2408041215200","357708734900"
"017860","DS단석","6967842","7786306","818464","2472816112500","2780797548000","307981435500"
"207940","삼성바이오로직스","4907972","5330965","422993","3764941009000","4059976952000","295035943000"
"011790","SKC","36028761","38974539","2945778","3561721821700","3799346728500","237624906800"
"006260","LS","51804250","53859188","2054938","5388315871500","5625522466200","237206594700"
"454910","두산로보틱스","233464685","237665316","4200631","16430062776400","16664533128550","234470352150"
"006360","GS건설","103894559","117603644","13709085","1829944193270","2063679292500","233735099230"
"036460","한국가스공사","27926116","35447428","7521312","758662551050","971496923450","212834372400"
"028670","팬오션","466828101","505607555","38779454","2279554868700","2442104186555","162549317855"
"001570","금양","533519669","533309742","-209927","39048503441150","39191807005650","143303564500"
"017670","SK텔레콤","50493236","54013459","3520223","2429621081250","2562193548100","132572466850"
"086790","하나금융지주","50586534","54999169","4412635","2164217551700","2288847163100","124629611400"
"001120","LX인터내셔널","53333222","57283286","3950064","1806097365900","1929569600750","123472234850"
"011810","STX","741124365","746839922","5715557","10733945561570","10855810007215","121864445645"
"452260","한화갤러리아","729428195","793524788","64096593","1325874042298","1446308324561","120434282263"
"010130","고려아연","4263913","4527800","263887","2227593286000","2341624996500","114031710500"
"003620","KG모빌리티","190721565","199149576","8428011","2030697233400","2144531481100","113834247700"
"000150","두산","40316046","40943107","627061","4464563077000","4576567741800","112004664800"
"145720","덴티움","11737998","12420673","682675","1534393839600","1638449194300","104055354700"
"030000","제일기획","24775551","30029753","5254202","481165450200","581093338110","99927887910"
"097950","CJ제일제당","3338241","3635152","296911","1045772823500","1145496929000","99724105500"
"010120","LS ELECTRIC","37308662","38108675","800013","3313916560950","3412184172850","98267611900"
"004170","신세계","5767211","6327376","560165","1166107321700","1263297042900","97189721200"
"005420","코스모화학","268730547","268499577","-230970","13477218214450","13571883160000","94664945550"
"336260","두산퓨얼셀","51819012","55920179","4101167","1442472229020","1536301863450","93829634430"
"137310","에스디바이오센서","105031862","111368635","6336773","1551622544430","1645366649840","93744105410"
"093230","이아이디","1657643790","1696498081","38854291","3827176187536","3917084537043","89908349507"
"020150","롯데에너지머티리얼즈","40721008","42165463","1444455","2347417948150","2433673810500","86255862350"
"139480","이마트","11088574","12430712","1342138","955080397900","1039961597700","84881199800"
"006740","영풍제지","687906208","701712381","13806173","14007648606250","14089772264845","82123658595"
"015760","한국전력","153279638","158832704","5553066","2881141239500","2961661487250","80520247750"
"034730","SK","12704493","13233563","529070","2089689678100","2170005990400","80316312300"
"000080","하이트진로","29985976","33490940","3504964","662703330640","740125908120","77422577480"
"210980","SK디앤디","33165210","35946211","2781001","888273354730","965025258930","76751904200"
"069620","대웅제약","6955863","7554105","598242","806732135300","881623369600","74891234300"
"032640","LG유플러스","58517017","65783055","7266038","627538130590","701230483580","73692352990"
"322000","HD현대에너지솔루션","28480254","30427464","1947210","1223660841250","1297016676800","73355835550"
"000100","유한양행","54426155","55145621","719466","3647952479550","3716967681250","69015201700"
"004990","롯데지주","16388238","18796924","2408686","457871657300","525053253500","67181596200"
"093370","후성","273768337","277525705","3757368","3924409587550","3988024502070","63614914520"
"014820","동원시스템즈","10379165","11785492","1406327","439243012050","500638566950","61395554900"
"016380","KG스틸","274974614","280687652","5713038","2693846657260","2754892391760","61045734500"
"078930","GS","8583684","10231192","1647508","343854781450","404391112800","60536331350"
"282330","BGF리테일","1669575","2117269","447694","268040548600","327654940500","59614391900"
"074610","이엔플러스","881688493","887362881","5674388","7695920024760","7754749680585","58829655825"
"000880","한화","32212994","34846110","2633116","896864322100","953715990700","56851668600"
"112610","씨에스윈드","59726056","61171866","1445810","4186553373300","4242675700650","56122327350"
"353200","대덕전자","137210899","139806456","2595557","3757896221810","3812311211290","54414989480"
"000720","현대건설","69249213","70835528","1586315","2607930521250","2661874098450","53943577200"
"017390","서울가스","7209621","7721057","511436","993641567200","1047042391100","53400823900"
"036420","콘텐트리중앙","24397933","27025136","2627203","488881016000","541968240970","53087224970"
"007660","이수페타시스","1317062367","1313583873","-3478494","27233108483910","27284759945430","51651461520"
"092790","넥스틸","111043941","114808343","3764402","1180459953830","1225997775750","45537821920"
"088980","맥쿼리인프라","80510827","84436803","3925976","1001385981090","1046693946380","45307965290"
"032350","롯데관광개발","158670375","163547530","4877155","2110078901560","2155348796160","45269894600"
"006280","녹십자","4659517","5068770","409253","553381823000","597947780900","44565957900"
"005950","이수화학","348313187","349720777","1407590","11651715054580","11695435293880","43720239300"
"001470","삼부토건","3854561526","3861723266","7161740","12381985858938","12425681789446","43695930508"
"000490","대동","242474628","245226449","2751821","3834339570230","3877599588970","43260018740"
"010600","웰바이오텍","1275756332","1286532763","10776431","3720846843286","3763971548754","43124705468"
"031430","신세계인터내셔날","16829557","18811054","1981497","323550309030","366528334110","42978025080"
"034120","SBS","23034338","24407103","1372765","794639972250","835928935200","41288962950"
"204320","HL만도","26048461","27429802","1381341","1153471619700","1193827642350","40356022650"
"011070","LG이노텍","19732797","20066056","333259","5291995161000","5332004552000","40009391000"
"051905","LG생활건강우","747370","930399","183029","160674848300","200528763900","39853915600"
"111380","동인기연","21186621","22422643","1236022","602321848350","639765300700","37443452350"
"018880","한온시스템","68903711","74517123","5613412","606983646760","644128593260","37144946500"
"023530","롯데쇼핑","5477315","5953342","476027","431821572500","468200221200","36378648700"
"090460","비에이치","32332033","34007231","1675198","757298461350","792784815090","35486353740"
"007460","에이프로젠","844742360","866696723","21954363","1534008556323","1569176452544","35167896221"
"460850","동국씨엠","43992639","47643276","3650637","576873515030","611547238350","34673723320"
"026960","동서","7957155","9824971","1867816","150154373600","184740918280","34586544680"
"005690","파미셀","68185196","73003425","4818229","552504617370","586591249160","34086631790"
"020000","한섬","5336392","6933920","1597528","116629246300","150667237410","34037991110"
"013890","지누스","7787400","9203456","1416056","197140238760","230849397770","33709159010"
"363280","티와이홀딩스","59522587","64964042","5441455","396353961540","428938563295","32584601755"
"007070","GS리테일","18643196","20295564","1652368","469170665310","501375058520","32204393210"
"213500","한솔제지","9903939","12700715","2796776","111021304710","143128505650","32107200940"
"007310","오뚜기","523078","603034","79956","209092442500","240704074000","31611631500"
"000155","두산우","7157134","7551546","394412","477303946500","508496430850","31192484350"
"001230","동국홀딩스","116689215","119429008","2739793","1894967622870","1925762758870","30795136000"
"033780","KT&G","13153833","13718548","564715","1147947720000","1178360851200","30413131200"
"330590","롯데리츠","17243305","25916559","8673254","61898136520","92236555800","30338419280"
"005300","롯데칠성","2309772","2520143","210371","339549873500","369803323700","30253450200"
"267270","HD현대건설기계","29493258","30339440","846182","1876410736750","1905605335050","29194598300"
"015890","태경산업","166091089","169341772","3250683","1411189909460","1439697313790","28507404330"
"006040","동원산업","3560730","4329246","768516","145350844750","173428100950","28077256200"
"120110","코오롱인더","30991463","31595347","603884","1520586846900","1547350068100","26763221200"
"004370","농심","1991258","2061092","69834","829173915897","854993592500","25819676603"
"403550","쏘카","33651678","35334720","1683042","569590623620","594675733780","25085110160"
"009410","태영건설","95509470","101902184","6392714","322355390928","347322002299","24966611371"
"003240","태광산업","89441","126019","36578","58816971000","83445533000","24628562000"
"272450","진에어","23617809","25821344","2203535","367040877940","391314972440","24274094500"
"055490","테이팩스","5914283","6443252","528969","294731754250","318210013850","23478259600"
"229640","LS전선아시아","610191491","611242172","1050681","7842706548770","7865930929050","23224380280"
"450080","에코프로머티","173746942","177298950","3552008","19844107893050","19866854078000","22746184950"
"457190","이수스페셜티케미컬","38094267","38141469","47202","9745303313800","9767474393300","22171079500"
"000240","한국앤컴퍼니","68588747","69505960","917213","1135163391380","1156383965490","21220574110"
"005440","현대지에프홀딩스","23185456","28734537","5549081","98049544795","119112897250","21063352455"
"092220","KEC","1021801613","1032751425","10949812","2373417969518","2394068593360","20650623842"
"004690","삼천리","12678184","13064645","386461","2094397963900","2114970821600","20572857700"
"011330","유니켐","214311559","224203647","9892088","438529981054","458849293797","20319312743"
"039130","하나투어","11741242","12145775","404533","649693947650","669698815900","20004868250"
"348950","제이알글로벌리츠","32453542","37219804","4766262","139160581030","159039198775","19878617745"
"241590","화승엔터프라이즈","34109512","36895716","2786204","294004103550","313595886700","19591783150"
"053210","스카이라이프","8990780","11757721","2766941","62153046240","80564235600","18411189360"
