종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"005930","삼성전자","1470386826","1695846784","225459958","106040736534300","118132994041600","12092257507300"
"006400","삼성SDI","46773538","53471044","6697506","17365379676000","19693110072000","2327730396000"
"051910","LG화학","24791347","29280860","4489513","9021198767000","10632664581000","1611465814000"
"000660","SK하이닉스","396316692","401351382","5034690","70957112003400","71573936415300","616824411900"
"042660","한화오션","363963857","379738652","15774795","11952283545600","12463568439700","511284894100"
"009830","한화솔루션","201090165","221448573","20358408","5487490997370","5959200626410","471709629040"
"035420","NAVER","92423054","95139324","2716270","17195086368020","17605941162600","410854794580"
"008770","호텔신라","24347835","31335383","6987548","1315021700400","1710182774300","395161073900"
"000100","유한양행","295679675","299052901","3373226","35461618282500","35774319672400","312701389900"
"004020","현대제철","33962781","43264723","9301942","956846950190","1220845372760","263998422570"
"454910","두산로보틱스","149124657","152275717","3151060","12414808892750","12674742637950","259933745200"
"018880","한온시스템","189969383","237530032","47560649","911831714710","1156340642640","244508927930"
"278470","에이피알","44223319","44595482","372163","10078261054050","10321808688200","243547634150"
"011170","롯데케미칼","13394021","15827907","2433886","1307445967000","1537833351200","230387384200"
"028050","삼성E&A","97737461","109026798","11289337","2360089524590","2584600660250","224511135660"
"088980","맥쿼리인프라","97970527","116536813","18566286","1185156123050","1407265055080","222108932030"
"489790","한화인더스트리얼솔루션즈","184027134","190249921","6222787","7479082366400","7697855085650","218772719250"
"000720","현대건설","58857737","65936102","7078365","1867316321650","2069916497200","202600175550"
"017860","DS단석","73180669","75690102","2509433","7193983576700","7391696308900","197712732200"
"352820","하이브","33138557","34243608","1105051","6647107187300","6833078013400","185970826100"
"377300","카카오페이","64867268","70074016","5206748","2176859063550","2349629374350","172770310800"
"271560","오리온","25385716","27253289","1867573","2415798704200","2576432593300","160633889100"
"361610","SK아이이테크놀로지","27071236","30970885","3899649","1283346378700","1437169366150","153822987450"
