종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"005930","삼성전자","1599948818","1777118118","177169300","90650166661550","100245348044650","9595181383100"
"005935","삼성전자우","264104991","376253599","112148608","13549378702150","19650688420250","6101309718100"
"005380","현대차","266039842","287136269","21096427","37402400321300","39992372048900","2589971727600"
"035420","NAVER","74230248","82119282","7889034","19362448495000","21414918105000","2052469610000"
"055550","신한지주","203277379","246800319","43522940","6356278836450","7649362698050","1293083861600"
"035720","카카오","135763529","139104129","3340600","38762872570000","39980024697500","1217152127500"
"034730","SK","56168875","60911684","4742809","13685369122000","14871717859000","1186348737000"
"015760","한국전력","554880448","608533646","53653198","12406710524100","13503946266550","1097235742450"
"000660","SK하이닉스","390610945","402819080","12208135","34164243478200","35036164863600","871921385400"
"033780","KT&G","37273456","46115777","8842321","3118311844700","3835430858300","717119013600"
"017670","SK텔레콤","28097033","31130542","3033509","6293986470000","6904048286500","610061816500"
"105560","KB금융","176951879","194363604","17411725","6632004905900","7221377388050","589372482150"
"012330","현대모비스","32662460","35758936","3096476","7135621144500","7697664932000","562043787500"
"096770","SK이노베이션","131075619","136804300","5728681","18085011445600","18569413608700","484402163100"
"010950","S-Oil","72254734","79053300","6798566","4761633178300","5213537840550","451904662250"
"000270","기아차","222649859","235399608","12749749","9470729707300","9922285787550","451556080250"
"326030","SK바이오팜","71281208","73550789","2269581","13648553629500","14090595679000","442042049500"
"024110","기업은행","307232050","358381934","51149884","2627591166100","3067200921370","439609755270"
"008770","호텔신라","101778769","107813501","6034732","8099140607100","8519752786500","420612179400"
"352820","빅히트","32076593","33744521","1667928","6309656973500","6729816560500","420159587000"
"000210","대림산업","39835927","45016374","5180447","3314907062300","3732662363100","417755300800"
"003490","대한항공","518945094","538349334","19404240","11763699213100","12156687038350","392987825250"
"028050","삼성엔지니어링","346838297","377089866","30251569","4215346062620","4578855003030","363508940410"
"032830","삼성생명","97519804","104999199","7479395","5785232063950","6143668329800","358436265850"
"035250","강원랜드","93497986","109448363","15950377","2168555779200","2526527303300","357971524100"
"032640","LG유플러스","210406215","240502934","30096719","2556143099090","2903856804620","347713705530"
"004170","신세계","12151613","13745551","1593938","2812680975000","3158289326500","345608351500"
"010140","삼성중공업","1808342575","1872654463","64311888","11072072446605","11409044259075","336971812470"
"088980","맥쿼리인프라","106653329","135198632","28545303","1180304725130","1499970085800","319665360670"
"086790","하나금융지주","158018529","171429228","13410699","4577036086950","4893253726250","316217639300"
"030200","KT","119600046","132983383","13383337","2826137205500","3138476568600","312339363100"
"071050","한국금융지주","51323618","56365398","5041780","3359420588200","3657809699150","298389110950"
"078930","GS","29146671","37236455","8089784","1071277302850","1368758768750","297481465900"
"086280","현대글로비스","25569914","27355782","1785868","3996686876400","4281001267000","284314390600"
"000810","삼성화재","8632024","10174330","1542306","1617648011000","1898781366000","281133355000"
"009830","한화솔루션","651572910","659142485","7569575","23728597841750","24006024710150","277426868400"
"009540","한국조선해양","46461780","49574052","3112272","4325062304900","4583125391100","258063086200"
"000720","현대건설","154205006","161849146","7644140","5229516063700","5475700385200","246184321500"
"005385","현대차우","18558268","22261824","3703556","1324418485250","1567129881550","242711396300"
"000080","하이트진로","64458722","71191548","6732826","2289277522300","2529352004300","240074482000"
"036570","엔씨소프트","9664250","9963593","299343","7546868406000","7772265158000","225396752000"
"018260","삼성에스디에스","22870066","24182141","1312075","3978979520000","4189234013000","210254493000"
"042670","두산인프라코어","1875271912","1906487640","31215728","14082853848230","14289363756025","206509907795"
"011170","롯데케미칼","24553955","25467820","913865","5170354539000","5366681748500","196327209500"
"267250","현대중공업지주","5555008","6343056","788048","1416838813500","1609796925500","192958112000"
"007070","GS리테일","32962548","38505323","5542775","1182236319450","1370235698550","187999379100"
"000100","유한양행","122331221","125633013","3301792","7867269375200","8054949656500","187680281300"
"010130","고려아연","4536280","5083459","547179","1797667043500","1982166140500","184499097000"
"069960","현대백화점","18111335","21062689","2951354","1180260817900","1360569600800","180308782900"
"047810","한국항공우주","103956362","110923080","6966718","2572695665250","2752744824300","180049159050"
"004370","농심","4561982","5129559","567577","1415630163000","1589729690000","174099527000"
"316140","우리금융지주","226327499","246671834","20344335","2013990121810","2187307476830","173317355020"
"138930","BNK금융지주","129719056","161947596","32228540","697324854590","869428901635","172104047045"
"023530","롯데쇼핑","21283871","23118051","1834180","1936417831000","2104464434200","168046603200"
"033270","유나이티드제약","256845516","260057899","3212383","13982971364650","14148924267200","165952902550"
"011790","SKC","70566183","73263480","2697297","4775649952500","4940546295700","164896343200"
"051600","한전KPS","21713961","27380981","5667020","662080418450","824937563300","162857144850"
