종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"005930","삼성전자","1333128681","1719335941","386207260","107640863451100","138864731139100","31223867688000"
"005935","삼성전자우","211119081","280012393","68893312","15437206981500","20537746494100","5100539512600"
"012330","현대모비스","46807067","57251109","10444042","14238590108500","17389968149500","3151378041000"
"035720","카카오","330515237","353501528","22986291","54408971319100","57311743601000","2902772281900"
"005380","현대차","164214420","174408732","10194312","38583027723000","40961914060500","2378886337500"
"000660","SK하이닉스","331266634","350593373","19326739","40730580728000","43020929119700","2290348391700"
"066570","LG전자","238714658","253045857","14331199","36691326376500","38763399172000","2072072795500"
"035420","NAVER","77103500","81495498","4391998","29541266961000","31152401237500","1611134276500"
"326030","SK바이오팜","55710000","64699373","8989373","6703636029600","7847753899100","1144117869500"
"011780","금호석유","62923239","67891463","4968224","14387045991500","15488368064000","1101322072500"
"036570","엔씨소프트","22322785","23911282","1588497","16125581373000","17182543876000","1056962503000"
"015760","한국전력","449402363","493531622","44129259","11034472576950","12077797830200","1043325253250"
"068270","셀트리온","135531770","139411266","3879496","38624633332000","39624116306000","999482974000"
"051900","LG생활건강","2084181","2757167","672986","3032333612000","3910643220000","878309608000"
"005490","POSCO","41706458","44479610","2773152","13457016166000","14213575311500","756559145500"
"009150","삼성전기","72240630","76858526","4617896","13373049648500","14119377988000","746328339500"
"000270","기아","473852101","483525374","9673273","40381830757700","41117153529100","735322771400"
"302440","SK바이오사이언스","205171679","208598271","3426592","46294116537500","46994205595000","700089057500"
"033780","KT&G","53585373","61240322","7654949","4433857203900","5035795204000","601938000100"
"096770","SK이노베이션","130113705","132659104","2545399","34296506436500","34887852414500","591345978000"
"011170","롯데케미칼","27309467","29468266","2158799","7671900356000","8220106958500","548206602500"
"009540","한국조선해양","52881895","56617762","3735867","6442678685900","6922385953100","479707267200"
"402340","SK스퀘어","50142027","57146190","7004163","3331874968500","3790811535800","458936567300"
"001440","대한전선","6130590881","6346131339","215540458","15279363922806","15692676289386","413312366580"
"034020","두산중공업","1589449385","1606447682","16998297","34976150143300","35379854235700","403704092400"
"950210","프레스티지바이오파마","292541506","303742129","11200623","10726181208350","11100212586450","374031378100"
"090430","아모레퍼시픽","19351870","21269721","1917851","4348762665000","4716205107500","367442442500"
"006400","삼성SDI","33375485","34187453","811968","23675410233000","24029258045000","353847812000"
"323410","카카오뱅크","351254268","356465251","5210983","26352313525200","26705113795400","352800270200"
"019170","신풍제약","436396980","439890115","3493135","32574989773200","32917548966700","342559193500"
"034730","SK","38710020","39924378","1214358","10976735160000","11302752945500","326017785500"
"008770","호텔신라","82386646","86793328","4406682","7249074646100","7570621324000","321546677900"
"028670","팬오션","1554058543","1602147475","48088932","10716202073240","11035711278025","319509204785"
"018880","한온시스템","178330417","196280321","17949904","3060966582950","3359335994250","298369411300"
"089860","롯데렌탈","25007702","30573777","5566075","1230015055300","1525388343600","295373288300"
"383800","LX홀딩스","68905602","93434624","24529022","740174053100","1010648078470","270474025370"
"009900","명신산업","203789143","211932763","8143620","7053514774650","7315638594700","262123820050"
"009830","한화솔루션","268934035","275198872","6264837","12719348023700","12976934394850","257586371150"
"028260","삼성물산","62467424","64641541","2174117","8400622597500","8653161813500","252539216000"
"204320","만도","100980904","104300431","3319527","6855405872700","7087071115600","231665242900"
"010140","삼성중공업","1364339038","1401726519","37387481","9192991802780","9418564529320","225572726540"
"267250","현대중공업지주","24615530","27692495","3076965","2146318537200","2364688868400","218370331200"
"000210","DL","33057942","35879447","2821505","2697722273400","2912339396300","214617122900"
"006650","대한유화","13193662","14022672","829010","3599610985500","3804020481000","204409495500"
"034220","LG디스플레이","554348178","564663160","10314982","12570573817600","12771174382550","200600564950"
"271940","일진하이솔루스","31970403","34940532","2970129","2458231318900","2650656043700","192424724800"
"009240","한샘","23354004","25140168","1786164","2700823750500","2891571053800","190747303300"
"032830","삼성생명","48067488","51026058","2958570","3748952523400","3939482316700","190529793300"
"018260","삼성에스디에스","21479561","22410298","930737","4085296206500","4253858112500","168561906000"
"185750","종근당","25504765","26463602","958837","4404070873000","4572399923500","168329050500"
"010620","현대미포조선","65090995","67307697","2216702","4563947921750","4730895209050","166947287300"
"035250","강원랜드","124291374","131433368","7141994","3269761383000","3436167051150","166405668150"
"009420","한올바이오파마","91575429","98251866","6676437","2217473602700","2383424178000","165950575300"
"000100","유한양행","38911997","41421884","2509887","2589551732100","2754959921700","165408189600"
"348950","제이알글로벌리츠","35383763","66184290","30800527","187492642695","349980075915","162487433220"
"007070","GS리테일","43226830","47992097","4765267","1540158898400","1701505810900","161346912500"
"006280","녹십자","29184497","29731895","547398","11048318167500","11207992727000","159674559500"
"042660","대우조선해양","73337221","78854811","5517590","2262576055700","2419740775150","157164719450"
"002790","아모레G","18808430","21487370","2678940","1166203105800","1318400121200","152197015400"
"086280","현대글로비스","32075797","33012392","936595","6340917454000","6489471332500","148553878500"
"139990","아주스틸","50676003","55283057","4607054","1444124985800","1589088578900","144963593100"
"016380","KG동부제철","98268667","107273426","9004759","1635365251870","1776164546980","140799295110"
"005387","현대차2우B","11807042","13118468","1311426","1256575729900","1394221536000","137645806100"
"112610","씨에스윈드","86889961","88501104","1611143","7048318805500","7183495882900","135177077400"
"032350","롯데관광개발","119033004","126225552","7192548","2308246156150","2442975374650","134729218500"
"002780","진흥기업","636947991","685542318","48594327","1880478383890","2013355501270","132877117380"
"081660","휠라홀딩스","56305378","60158208","3852830","2648474600650","2780492221600","132017620950"
"272210","한화시스템","267044882","274427692","7382810","5009595980650","5140410309650","130814329000"
"271560","오리온","11011005","12158587","1147582","1340451340100","1463616016600","123164676500"
"069260","휴켐스","109920538","114769270","4848732","2846152558600","2967269636100","121117077500"
"298020","효성티앤씨","13624966","13932242","307276","7916641795500","8033109201000","116467405500"
"114090","GKL","61049204","68954403","7905199","999379726900","1115093858950","115714132050"
"004990","롯데지주","36522379","39517536","2995157","1331904668268","1445559727700","113655059432"
"039490","키움증권","18185535","19129462","943927","2396168918600","2509330328600","113161410000"
"023530","롯데쇼핑","18289102","19255224","966122","2097536725675","2203654057900","106117332225"
"064960","SNT모티브","11652642","13354759","1702117","728164420950","832078946300","103914525350"
"047040","대우건설","926415627","936137864","9722237","6443377063465","6546257682075","102880618610"
"017960","한국카본","126291361","134658889","8367528","1531847927340","1632186859250","100338931910"
"051910","LG화학","29677223","30267399","590176","25316758233000","25413358700000","96600467000"
"000080","하이트진로","78377357","81298240","2920883","2791186894450","2878517347950","87330453500"
"103140","풍산","72236063","74656769","2420706","2630330271450","2716363970500","86033699050"
"029780","삼성카드","17109107","19784728","2675621","579078874600","665012450250","85933575650"
"372910","한컴라이프케어","106474755","112273394","5798639","1203209416730","1287909932730","84700516000"
"026960","동서","30555813","33020623","2464810","1011862790250","1094752908200","82890117950"
"001450","현대해상","74409482","78659665","4250183","1835415771600","1916715515650","81299744050"
"003670","포스코케미칼","78765125","79323349","558224","11993029533500","12074131321000","81101787500"
"036420","제이콘텐트리","56345122","57094985","749863","3132410933650","3212350054150","79939120500"
"298000","효성화학","13355761","13617445","261684","4247994239500","4326314617000","78320377500"
"012510","더존비즈온","21509818","22833491","1323673","1988882508200","2066995206400","78112698200"
"003000","부광약품","288072387","290522217","2449830","6472203507700","6549117658450","76914150750"
"192080","더블유게임즈","40960993","42236775","1275782","2707648792600","2782427200700","74778408100"
"009155","삼성전기우","5044188","5603742","559554","582637561300","654351887000","71714325700"
"047050","포스코인터내셔널","291617151","295171900","3554749","6394335518350","6462805997250","68470478900"
"375500","DL이앤씨","31358783","32273390","914607","4042933858500","4111395438000","68461579500"
"007700","F&F홀딩스","37693577","39001806","1308229","2148576519850","2216544045450","67967525600"
"071050","한국금융지주","43354095","44185923","831828","4146691271500","4214411430000","67720158500"
"012630","HDC","73327293","78533018","5205725","900839037290","966138886130","65299848840"
"001680","대상","36538961","39150053","2611092","992517667950","1056791882600","64274214650"
"014830","유니드","26384908","27061423","676515","3016952129900","3079860763300","62908633400"
"005250","녹십자홀딩스","118988349","120423602","1435253","5149277418750","5211798230650","62520811900"
"093230","이아이디","25823355481","25998673091","175317610","12543832030056","12605826996624","61994966568"
"004170","신세계","14008354","14347747","339393","3811260244000","3873235304000","61975060000"
"285130","SK케미칼","42844038","43286793","442755","12916534530500","12976415858000","59881327500"
"071840","롯데하이마트","11813338","13720102","1906764","429780695200","487244973050","57464277850"
"009270","신원","2166238205","2183198137","16959932","6184798633805","6240776923560","55978289755"
"066575","LG전자우","48275082","49067234","792152","3669535954300","3725332202800","55796248500"
"005385","현대차우","16306342","16835462","529120","1818452015900","1873243941100","54791925200"
"001040","CJ","14416449","15071946","655497","1468761555400","1522586219400","53824664000"
"137310","에스디바이오센서","139308928","139441158","132230","7653906191900","7706967358950","53061167050"
"005180","빙그레","5532168","6380632","848464","335901281000","386399895800","50498614800"
"248070","솔루엠","245194021","246869117","1675096","6800146392450","6850229813450","50083421000"
"011500","한농화성","236493210","239075660","2582450","4562391107140","4611817478700","49426371560"
"001820","삼화콘덴서","22080414","22983024","902610","1482620284600","1529865568900","47245284300"
"001230","동국제강","315340308","315643681","303373","5803586903240","5850414483430","46827580190"
"079160","CJ CGV","83240280","84991113","1750833","2432743765850","2479273045350","46529279500"
"092220","KEC","2227292596","2241850911","14558315","7222680394275","7268716010670","46035616395"
"161890","한국콜마","31575972","32494356","918384","1705641515950","1751115443150","45473927200"
"011785","금호석유우","13398825","13804963","406138","1477247239900","1522595348200","45348108300"
"008350","남선알미늄","965013405","975710038","10696633","3869417413200","3914448897440","45031484240"
"071970","STX중공업","265110337","270341893","5231556","2020329321105","2064410547175","44081226070"
"001530","DI동일","5126222","5287966","161744","1280401993500","1324027038500","43625045000"
"234080","JW생명과학","18365334","20758605","2393271","361819199300","404679709450","42860510150"
"139480","이마트","26782735","27217189","434454","4559493707000","4602305484000","42811777000"
"047810","한국항공우주","163033686","164531739","1498053","5544342667750","5585545018500","41202350750"
"005950","이수화학","211276601","214474483","3197882","3118830490700","3159898756850","41068266150"
"003920","남양유업","1881531","1959496","77965","915838829500","956597656500","40758827000"
"005440","현대그린푸드","120912970","125289005","4376035","1217254773450","1257426779720","40172006270"
"042700","한미반도체","169103217","170311138","1207921","5093101262400","5132870587000","39769324600"
"051905","LG생활건강우","483116","551793","68677","341108866000","380506973000","39398107000"
"064350","현대로템","473238993","474952923","1713930","10577253558100","10616393512850","39139954750"
"170900","동아에스티","6928425","7448123","519698","590992386200","629968928800","38976542600"
"010780","아이에스동서","12176128","12977229","801101","665173223900","703799204500","38625980600"
"023960","에쓰씨엔지니어링","126110384","133139750","7029366","667708426175","706058593035","38350166860"
"082740","HSD엔진","183433553","188466267","5032714","1656459885520","1694687803120","38227917600"
"000990","DB하이텍","219863283","221609195","1745912","13524053739700","13561555768000","37502028300"
"042670","현대두산인프라코어","816630238","813027255","-3602983","9434307821040","9471726424480","37418603440"
"007570","일양약품","64945221","65844313","899092","2697860133650","2735017091950","37156958300"
"317400","자이에스앤디","37325974","40746282","3420308","407853661660","444507746470","36654084810"
"002320","한진","12907901","13910541","1002640","544529574000","581097235450","36567661450"
"000120","CJ대한통운","6005486","6383792","378306","1032790163500","1068758263000","35968099500"
"023590","다우기술","43890870","45278115","1387245","1158248811450","1193017205500","34768394050"
"003555","LG우","5921695","6343834","422139","450861734300","485339924400","34478190100"
"249420","일동제약","128799636","130425128","1625492","3313943821000","3348018979800","34075158800"
"210980","SK디앤디","12983692","13812733","829041","505565509600","539094307850","33528798250"
"138250","엔에스쇼핑","25610822","28159455","2548633","360031399750","393359292350","33327892600"
"029460","케이씨","12453079","13701253","1248174","330468329150","363785826450","33317497300"
"006390","한일현대시멘트","11485923","12301393","815470","439012314550","472009739750","32997425200"
"078930","GS","41629876","42733929","1104053","1766119502100","1798988085250","32868583150"
"003220","대원제약","190252767","192012114","1759347","3824985290650","3857521493900","32536203250"
"006060","화승인더","80586932","85518514","4931582","622288074130","654664999450","32376925320"
"057050","현대홈쇼핑","2758994","3232990","473996","222845701900","254915395700","32069693800"
"001470","삼부토건","1118731719","1126149735","7418016","3666018434220","3697738867670","31720433450"
"081000","일진다이아","36354245","37072893","718648","1713064610700","1744437049500","31372438800"
"004710","한솔테크닉스","78401224","81685560","3284336","731458951620","762775197010","31316245390"
"008490","서흥","4868544","5535592","667048","256870493650","287949186600","31078692950"
"128940","한미약품","9909515","10043722","134207","3448424285000","3479366256500","30941971500"
"004250","NPC","523815763","529020395","5204632","3727441379470","3757864981825","30423602355"
"084680","이월드","435641531","443783840","8142309","1416386551900","1446663515310","30276963410"
"122900","아이마켓코리아","104695978","107427014","2731036","1233807831240","1263880789950","30072958710"
"294870","HDC현대산업개발","98424478","99877924","1453446","2852262740150","2881839954800","29577214650"
"004490","세방전지","31769221","32088565","319344","3051919141500","3081024759000","29105617500"
"001060","JW중외제약","18348872","19411975","1063103","539873453900","568893287300","29019833400"
"322000","현대에너지솔루션","14954741","15830280","875539","525970306450","554392365650","28422059200"
"033180","KH 필룩스","1434417767","1440754848","6337081","7523478148385","7551155651940","27677503555"
"00104K","CJ4우(전환)","1418520","1776014","357494","114005025600","141171018700","27165993100"
"161000","애경케미칼","107228160","109666511","2438351","1378006463770","1405033059280","27026595510"
"003410","쌍용C&E","230552618","234775133","4222515","1749516130810","1775792454400","26276323590"
"001740","SK네트웍스","206327904","211646086","5318182","1158778762650","1185036479285","26257716635"
"000815","삼성화재우","2047355","2228436","181081","323432747500","349353215500","25920468000"
"018470","조일알미늄","1699694333","1721779686","22085353","3465352649592","3490738003321","25385353729"
"010600","웰바이오텍","286111495","294143963","8032468","835108573825","860413861255","25305287430"
"006120","SK디스커버리","18342735","18755896","413161","1051874702900","1077043307950","25168605050"
"010060","OCI","68801236","69471492","670256","8447584989100","8472645798500","25060809400"
"214320","이노션","5790189","6282412","492223","355743160900","380593735100","24850574200"
"005500","삼진제약","10819943","11776520","956577","287674537700","312219806550","24545268850"
"037560","LG헬로비전","803644655","807334352","3689697","5836576630975","5861060832595","24484201620"
"003280","흥아해운","284100601","289260568","5159967","1176486956285","1200860771055","24373814770"
"136490","선진","42076002","43910837","1834835","700279054280","724282020940","24002966660"
"027410","BGF","139925120","143492803","3567683","908148439835","931920542705","23772102870"
