날짜,시가,고가,저가,종가,거래량
2021-06-07,3244.590087890625,3264.409912109375,3233.39990234375,3252.1201171875,1731900
2021-06-08,3251.830078125,3264.669921875,3242.56005859375,3247.830078125,1950600
2021-06-09,3245.080078125,3246.489990234375,3216.179931640625,3216.179931640625,1964500
2021-06-10,3216.93994140625,3235.389892578125,3210.31005859375,3224.639892578125,1896200
2021-06-11,3226.97998046875,3251.580078125,3226.97998046875,3249.320068359375,1643800
2021-06-14,3249.60009765625,3254.489990234375,3238.510009765625,3252.1298828125,1663900
2021-06-15,3253.169921875,3262.800048828125,3247.89990234375,3258.6298828125,1733900
2021-06-16,3259.06005859375,3281.9599609375,3256.679931640625,3278.679931640625,2345200
2021-06-17,3276.199951171875,3276.199951171875,3251.320068359375,3264.9599609375,1848200
2021-06-18,3265.679931640625,3275.760009765625,3262.580078125,3267.929931640625,1626400
2021-06-21,3264.179931640625,3264.179931640625,3225.56005859375,3240.7900390625,1508100
2021-06-22,3245.7900390625,3267.6298828125,3245.7900390625,3263.8798828125,1666300
2021-06-23,3265.72998046875,3281.8798828125,3263.070068359375,3276.18994140625,1068300
2021-06-24,3281.469970703125,3292.27001953125,3277.85009765625,3286.10009765625,1300300
2021-06-25,3289.179931640625,3316.080078125,3289.179931640625,3302.840087890625,1197600
2021-06-28,3305.4599609375,3311.68994140625,3291.300048828125,3301.889892578125,1427400
2021-06-29,3305.260009765625,3305.419921875,3276.6298828125,3286.679931640625,1211800
2021-06-30,3288.6298828125,3305.72998046875,3288.6298828125,3296.679931640625,1608900
2021-07-01,3297.919921875,3300.1201171875,3278.10009765625,3282.06005859375,1157700
2021-07-02,3282.81005859375,3295.679931640625,3278.18994140625,3281.780029296875,1019400
2021-07-05,3285.2900390625,3298.929931640625,3285.2900390625,3293.2099609375,849700
2021-07-06,3295.43994140625,3313.510009765625,3295.43994140625,3305.2099609375,1028800
2021-07-07,3303.590087890625,3303.590087890625,3277.659912109375,3285.340087890625,1146800
2021-07-08,3287.679931640625,3295.7099609375,3252.409912109375,3252.679931640625,1515200
2021-07-09,3245.52001953125,3245.52001953125,3188.800048828125,3217.949951171875,1307500
2021-07-12,3227.510009765625,3251.449951171875,3227.510009765625,3246.469970703125,1134600
2021-07-13,3253.239990234375,3273.89990234375,3253.239990234375,3271.3798828125,1149500
2021-07-14,3270.090087890625,3270.090087890625,3250.449951171875,3264.81005859375,908300
2021-07-15,3269.330078125,3286.580078125,3263.090087890625,3286.219970703125,1171900
2021-07-16,3282.889892578125,3282.889892578125,3259.320068359375,3276.909912109375,1066100
2021-07-19,3258.8701171875,3258.8701171875,3236.389892578125,3244.0400390625,1095100
2021-07-20,3223.239990234375,3234.800048828125,3214.419921875,3232.699951171875,979300
2021-07-21,3251.1298828125,3252.25,3215.909912109375,3215.909912109375,990300
2021-07-22,3235.169921875,3253.75,3235.169921875,3250.2099609375,713000
2021-07-23,3253.43994140625,3264.010009765625,3246.090087890625,3254.419921875,804600
2021-07-26,3265.989990234375,3265.989990234375,3224.949951171875,3224.949951171875,826100
2021-07-27,3244.429931640625,3252.85009765625,3230.75,3232.530029296875,991600
2021-07-28,3226.06005859375,3243.2099609375,3210.89990234375,3236.860107421875,868200
2021-07-29,3248.489990234375,3252.260009765625,3232.5,3242.64990234375,694500
2021-07-30,3234.3701171875,3234.659912109375,3202.320068359375,3202.320068359375,687500
2021-08-02,3218.419921875,3223.0400390625,3194.0,3223.0400390625,560800
2021-08-03,3221.570068359375,3237.139892578125,3213.199951171875,3237.139892578125,653200
2021-08-04,3246.64990234375,3283.139892578125,3237.550048828125,3280.3798828125,632000
2021-08-05,3283.25,3296.169921875,3273.330078125,3276.1298828125,680000
2021-08-06,3277.06005859375,3288.169921875,3261.929931640625,3270.360107421875,939900
2021-08-09,3258.10009765625,3275.14990234375,3251.739990234375,3260.419921875,706500
2021-08-10,3272.43994140625,3272.43994140625,3232.4599609375,3243.18994140625,729000
2021-08-11,3235.360107421875,3250.2099609375,3217.64990234375,3220.6201171875,616700
2021-08-12,3213.580078125,3229.590087890625,3202.110107421875,3208.3798828125,642600
2021-08-13,3205.75,3209.719970703125,3146.760009765625,3171.2900390625,695600
2021-08-17,3169.739990234375,3179.489990234375,3134.47998046875,3143.090087890625,690800
2021-08-18,3141.97998046875,3175.8798828125,3124.56005859375,3158.929931640625,622800
2021-08-19,3140.010009765625,3158.0,3097.830078125,3097.830078125,655600
2021-08-20,3111.10009765625,3122.090087890625,3049.030029296875,3060.510009765625,672100
2021-08-23,3086.81005859375,3111.81005859375,3064.64990234375,3090.2099609375,570400
2021-08-24,3119.699951171875,3142.580078125,3115.22998046875,3138.300048828125,586500
2021-08-25,3148.1298828125,3161.0,3124.25,3146.81005859375,600400
2021-08-26,3151.300048828125,3159.3701171875,3121.0400390625,3128.530029296875,727700
2021-08-27,3116.2900390625,3143.010009765625,3106.969970703125,3133.89990234375,520700
2021-08-30,3160.8701171875,3164.8701171875,3132.77001953125,3144.18994140625,602900
2021-08-31,3144.489990234375,3199.889892578125,3130.300048828125,3199.27001953125,660500
2021-09-01,3195.669921875,3215.1298828125,3185.800048828125,3207.02001953125,746700
2021-09-02,3198.030029296875,3204.010009765625,3171.780029296875,3175.85009765625,753900
2021-09-03,3189.7099609375,3203.080078125,3181.639892578125,3201.06005859375,638300
2021-09-06,3196.300048828125,3206.25,3186.7900390625,3203.330078125,726200
2021-09-07,3200.070068359375,3201.760009765625,3176.81005859375,3187.419921875,758700
2021-09-08,3178.739990234375,3187.550048828125,3157.070068359375,3162.989990234375,858500
2021-09-09,3146.639892578125,3158.60009765625,3111.489990234375,3114.699951171875,927400
2021-09-10,3121.090087890625,3131.5400390625,3103.3798828125,3125.760009765625,723100
2021-09-13,3117.35009765625,3139.1298828125,3109.010009765625,3127.860107421875,731200
2021-09-14,3137.320068359375,3164.31005859375,3137.320068359375,3148.830078125,712400
2021-09-15,3147.2099609375,3164.010009765625,3138.800048828125,3153.39990234375,615200
2021-09-16,3165.3798828125,3167.679931640625,3126.64990234375,3130.090087890625,612000
2021-09-17,3127.75,3142.1298828125,3112.510009765625,3140.510009765625,587500
2021-09-23,3123.639892578125,3131.6298828125,3107.97998046875,3127.580078125,623000
