종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"016360","삼성증권","30000786","30429161","428375","1971614971275","2003830978650","32216007375"
"089590","제주항공","21026245","25660742","4634497","144024848880","175676418060","31651569180"
"005420","코스모화학","28007777","30053104","2045327","502067159135","533476758820","31409599685"
"025540","한국단자","2701631","3220344","518713","182353846500","213686383200","31332536700"
"051905","LG생활건강우","728666","984956","256290","90305897850","121542764850","31236867000"
"037270","YG PLUS","448975421","453700283","4724862","3058325802577","3088790843276","30465040699"
"079160","CJ CGV","52429185","58642040","6212855","279047558934","309326881478","30279322544"
"272210","한화시스템","546878856","549242817","2363961","22393209985250","22421415932600","28205947350"
"009470","삼화전기","16593873","17489968","896095","607477412575","634940763450","27463350875"
"217590","티엠씨","76305898","77744464","1438566","1557020647655","1584242440020","27221792365"
"004490","세방전지","5887144","6316000","428856","412040720700","439143255300","27102534600"
"006360","GS건설","47085676","48925537","1839861","924415742045","951380416140","26964674095"
"005389","현대차3우B","2385591","2554213","168622","403197655200","429284990600","26087335400"
"000370","한화손해보험","70230842","75432897","5202055","393744174134","419731902093","25987727959"
"000815","삼성화재우","1202612","1295065","92453","385920578750","411810539750","25889961000"
"066575","LG전자우","8417032","9010782","593750","371070008700","396695176700","25625168000"
"014820","동원시스템즈","2049908","2906398","856490","66286238175","91599369875","25313131700"
"000070","삼양홀딩스","3741732","4113528","371796","277254601400","302123510000","24868908600"
"170900","동아에스티","2583926","3090166","506240","128378836350","152322127100","23943290750"
"022100","포스코DX","229850763","231428265","1577502","5961842047800","5984730150935","22888103135"
"181710","NHN","13501092","13931395","430303","370562606355","393395387490","22832781135"
"454910","두산로보틱스","78886320","79815865","929545","5437283289525","5460063363400","22780073875"
"475560","더본코리아","9099762","9921691","821929","264356035950","286988007350","22631971400"
"003030","세아제강지주","784620","926791","142171","169083508650","190876731650","21793223000"
"000210","DL","8341876","8973559","631683","348516042700","370280856375","21764813675"
"020000","한섬","5575645","6922458","1346813","88805059025","109250350125","20445291100"
